Lat,Long,Alt_m,Diftime,dist_Km,speed_m
40.000031,116.327208,35.0,5.0,0.01,2.82
40.000015,116.327099,33.0,5.0,0.01,1.89
40.000037,116.326964,37.0,5.0,0.01,2.35
40.000016,116.326943,35.0,5.0,0.0,0.59
39.999993,116.326887,38.0,5.0,0.01,1.08
39.999971,116.326781,39.0,5.0,0.01,1.87
39.999979,116.326704,38.0,5.0,0.01,1.32
39.999954,116.326609,37.0,5.0,0.01,1.71
39.999935,116.326497,36.0,5.0,0.01,1.95
39.999918,116.326374,36.0,5.0,0.01,2.13
39.999907,116.326248,36.0,5.0,0.01,2.16
39.999912,116.32611,37.0,5.0,0.01,2.35
39.99992,116.325976,38.0,5.0,0.01,2.29
39.99991,116.325838,39.0,5.0,0.01,2.36
39.999875,116.325717,39.0,5.0,0.01,2.2
39.999854,116.325577,40.0,5.0,0.01,2.43
39.999846,116.325439,40.0,5.0,0.01,2.36
39.999854,116.325317,41.0,5.0,0.01,2.09
39.999845,116.325199,45.0,5.0,0.01,2.02
39.999867,116.325009,44.0,5.0,0.02,3.27
39.999839,116.324831,44.0,5.0,0.02,3.1
39.999861,116.3247,45.0,5.0,0.01,2.28
39.999934,116.324616,42.0,5.0,0.01,2.16
40.000061,116.324583,43.0,5.0,0.01,2.88
40.000176,116.324573,43.0,5.0,0.01,2.56
40.000301,116.324568,42.0,5.0,0.01,2.78
40.000419,116.324552,43.0,5.0,0.01,2.64
40.000528,116.324554,40.0,5.0,0.01,2.42
40.000661,116.324543,39.0,5.0,0.01,2.96
40.000774,116.324517,40.0,5.0,0.01,2.55
40.000928,116.324537,40.0,5.0,0.02,3.44
40.001063,116.324514,40.0,5.0,0.02,3.03
40.001179,116.324508,40.0,5.0,0.01,2.58
40.001288,116.324521,41.0,5.0,0.01,2.43
40.001385,116.324547,43.0,5.0,0.01,2.2
40.001522,116.32452,44.0,5.0,0.02,3.08
40.001655,116.324517,46.0,5.0,0.01,2.96
40.001841,116.324424,44.0,5.0,0.02,4.43
40.001982,116.32442,39.0,5.0,0.02,3.14
40.002125,116.324444,37.0,5.0,0.02,3.21
40.002264,116.324443,36.0,5.0,0.02,3.09
40.002395,116.324442,36.0,5.0,0.01,2.91
40.002539,116.32442,34.0,5.0,0.02,3.22
40.002665,116.324408,36.0,5.0,0.01,2.81
40.002792,116.324416,40.0,5.0,0.01,2.83
40.002909,116.324419,37.0,5.0,0.01,2.6
