Lat,Long,Alt_m,Diftime,dist_Km,speed_m
39.957958,116.355848,108.0,230.0,0.03,0.13
39.958018,116.356049,83.0,1087.0,0.03,0.02
39.960321,116.364062,66.0,2925.0,0.03,0.01
39.957836,116.359869,54.0,625.0,0.03,0.05
39.959938,116.368441,-54.0,25.0,0.72,28.97
39.95991,116.36609,-87.0,5.0,0.2,40.08
39.959798,116.366016,-88.0,5.0,0.01,2.79
39.960169,116.358518,-65.0,10.0,0.64,64.04
39.960195,116.358651,-58.0,5.0,0.01,2.34
39.995907,116.310324,59.0,410.0,0.03,0.07
39.995329,116.3101,48.0,455.0,0.03,0.06
39.995199,116.309897,34.0,840.0,0.03,0.03
39.995383,116.310185,38.0,5.0,0.9,179.08
39.995142,116.309794,29.0,345.0,0.02,0.07
39.995512,116.310054,35.0,395.0,0.02,0.05
39.991663,116.31434,106.0,310.0,0.46,1.49
39.995499,116.309855,32.0,120.0,0.06,0.47
40.00767,116.318291,-78.0,137.0,0.13,0.93
39.991752,116.33035,70.0,375.0,0.03,0.07
39.995343,116.310761,44.0,355.0,0.03,0.08
39.995696,116.310346,36.0,770.0,0.03,0.04
39.995376,116.310294,57.0,2218.0,0.01,0.0
