Lat,Long,Alt_m,Diftime,dist_Km,speed_m
40.009381,116.313758,51.0,5.0,0.0,0.34
40.009381,116.313758,51.0,3.0,0.0,0.0
40.009389,116.313756,51.0,2.0,0.0,0.46
40.009386,116.313746,51.0,5.0,0.0,0.18
40.009485,116.313622,52.0,5.0,0.02,3.05
40.009512,116.313615,49.0,5.0,0.0,0.61
40.009509,116.313557,49.0,5.0,0.0,0.99
40.009542,116.313516,49.0,5.0,0.01,1.01
40.009538,116.313427,48.0,5.0,0.01,1.52
40.009535,116.313346,48.0,5.0,0.01,1.38
40.009515,116.313279,50.0,5.0,0.01,1.22
40.00952,116.313185,50.0,5.0,0.01,1.61
40.0095,116.31311,51.0,5.0,0.01,1.35
40.009481,116.313025,52.0,5.0,0.01,1.51
40.00945,116.312945,51.0,5.0,0.01,1.53
40.009432,116.312876,53.0,5.0,0.01,1.24
40.009433,116.312832,53.0,5.0,0.0,0.75
40.00942,116.312773,53.0,5.0,0.01,1.05
40.009412,116.312704,51.0,5.0,0.01,1.19
40.009376,116.31265,50.0,5.0,0.01,1.22
40.009324,116.31264,47.0,5.0,0.01,1.17
40.009268,116.312652,44.0,5.0,0.01,1.26
40.009208,116.312648,41.0,5.0,0.01,1.34
40.009118,116.312657,38.0,5.0,0.01,2.01
40.009063,116.3127,36.0,5.0,0.01,1.43
40.008995,116.312708,35.0,5.0,0.01,1.52
40.008912,116.312701,35.0,5.0,0.01,1.85
40.008853,116.312706,34.0,5.0,0.01,1.31
40.008811,116.312721,32.0,5.0,0.0,0.97
40.008773,116.312713,31.0,5.0,0.0,0.86
40.008728,116.312652,30.0,5.0,0.01,1.44
40.008682,116.312644,28.0,5.0,0.01,1.03
40.008646,116.312619,28.0,5.0,0.0,0.91
40.008608,116.312597,27.0,5.0,0.0,0.92
40.008542,116.31256,26.0,5.0,0.01,1.6
40.008496,116.312518,26.0,5.0,0.01,1.25
40.008448,116.312486,25.0,5.0,0.01,1.2
40.008406,116.31251,25.0,5.0,0.01,1.02
40.008332,116.312534,25.0,5.0,0.01,1.7
40.008263,116.312557,25.0,5.0,0.01,1.58
40.008206,116.312567,24.0,5.0,0.01,1.28
40.008165,116.312583,24.0,5.0,0.0,0.95
40.008132,116.312598,24.0,5.0,0.0,0.78
40.008063,116.312605,23.0,5.0,0.01,1.54
40.008021,116.31261,23.0,5.0,0.0,0.94
40.008023,116.312611,23.0,5.0,0.0,0.05
40.008023,116.312611,23.0,3.0,0.0,0.0
40.008018,116.312613,23.0,2.0,0.0,0.29
40.00799,116.31261,23.0,5.0,0.0,0.62
40.007988,116.312604,23.0,5.0,0.0,0.11
40.007988,116.312604,23.0,3.0,0.0,0.0
40.007989,116.3126,23.0,2.0,0.0,0.18
40.007988,116.312591,23.0,5.0,0.0,0.15
40.007987,116.312582,23.0,5.0,0.0,0.15
40.007986,116.312573,23.0,5.0,0.0,0.15
40.007984,116.312572,24.0,5.0,0.0,0.05
40.007984,116.312572,24.0,3.0,0.0,0.0
40.007983,116.312571,24.0,2.0,0.0,0.07
40.007973,116.312571,24.0,5.0,0.0,0.22
40.007963,116.312571,25.0,5.0,0.0,0.22
40.007953,116.312585,26.0,5.0,0.0,0.33
40.007924,116.312606,28.0,5.0,0.0,0.74
40.00731,116.312671,62.0,5.0,0.06,11.93
40.006804,116.312736,63.0,5.0,0.06,11.31
40.006278,116.312822,64.0,5.0,0.06,11.79
40.00555,116.312888,64.0,5.0,0.08,16.23
40.005024,116.312637,64.0,5.0,0.06,12.45
40.004819,116.311853,64.0,5.0,0.07,14.11
40.004736,116.310912,63.0,5.0,0.08,16.14
40.004533,116.310126,64.0,5.0,0.07,14.13
40.004219,116.30959,64.0,5.0,0.06,11.49
40.003847,116.309302,64.0,5.0,0.05,9.62
40.00349,116.309135,63.0,5.0,0.04,8.43
40.003092,116.309045,60.0,5.0,0.04,8.98
40.0027,116.309014,59.0,5.0,0.04,8.73
40.002508,116.309028,58.0,5.0,0.02,4.28
40.002479,116.309047,58.0,5.0,0.0,0.72
40.002463,116.309052,58.0,5.0,0.0,0.37
40.002388,116.309066,58.0,5.0,0.01,1.68
40.002369,116.309083,58.0,5.0,0.0,0.51
40.002369,116.309083,58.0,3.0,0.0,0.0
40.002376,116.309084,59.0,2.0,0.0,0.39
40.002354,116.309089,58.0,5.0,0.0,0.5
40.002189,116.309092,58.0,5.0,0.02,3.67
40.001888,116.309056,57.0,5.0,0.03,6.72
40.001478,116.309021,56.0,5.0,0.05,9.14
40.000978,116.309046,54.0,5.0,0.06,11.13
40.000538,116.30905,52.0,5.0,0.05,9.79
40.000146,116.309031,50.0,5.0,0.04,8.72
39.999874,116.309043,48.0,5.0,0.03,6.05
39.999683,116.309054,46.0,5.0,0.02,4.25
39.999599,116.309055,45.0,5.0,0.01,1.87
39.9996,116.309062,44.0,5.0,0.0,0.12
39.9996,116.309062,44.0,3.0,0.0,0.0
39.9996,116.309062,44.0,2.0,0.0,0.0
39.999438,116.309035,43.0,5.0,0.02,3.63
39.99924,116.309021,42.0,5.0,0.02,4.41
39.99901,116.309014,42.0,5.0,0.03,5.12
39.998795,116.309008,41.0,5.0,0.02,4.78
39.998602,116.308982,41.0,5.0,0.02,4.31
39.998442,116.30897,42.0,5.0,0.02,3.56
39.998188,116.308935,43.0,5.0,0.03,5.68
39.997873,116.308925,43.0,5.0,0.04,7.01
39.997548,116.308933,43.0,5.0,0.04,7.23
39.997281,116.308961,42.0,5.0,0.03,5.96
39.997167,116.308959,39.0,5.0,0.01,2.54
39.997165,116.308985,40.0,5.0,0.0,0.45
39.997172,116.308985,39.0,5.0,0.0,0.16
39.997172,116.308985,39.0,3.0,0.0,0.0
39.997176,116.308986,39.0,2.0,0.0,0.23
39.997061,116.308997,38.0,5.0,0.01,2.56
39.9969,116.309019,35.0,5.0,0.02,3.6
39.996877,116.308997,35.0,5.0,0.0,0.63
39.996871,116.309006,35.0,5.0,0.0,0.2
39.996857,116.309007,35.0,5.0,0.0,0.31
39.996777,116.309062,36.0,5.0,0.01,2.01
39.996655,116.309064,37.0,5.0,0.01,2.71
39.996612,116.309127,37.0,5.0,0.01,1.44
39.996566,116.309203,37.0,5.0,0.01,1.65
39.996554,116.309178,37.0,5.0,0.0,0.5
39.996552,116.309178,37.0,5.0,0.0,0.04
39.996552,116.309178,37.0,3.0,0.0,0.0
39.996553,116.309178,37.0,2.0,0.0,0.06
39.996499,116.309185,36.0,5.0,0.01,1.21
39.9963,116.309184,37.0,5.0,0.02,4.43
39.995983,116.309192,37.0,5.0,0.04,7.05
39.995544,116.309171,38.0,5.0,0.05,9.77
39.995088,116.309196,39.0,5.0,0.05,10.15
39.994756,116.309191,41.0,5.0,0.04,7.38
39.994553,116.309214,42.0,5.0,0.02,4.53
39.99448,116.309226,43.0,5.0,0.01,1.64
39.994462,116.309217,43.0,5.0,0.0,0.43
39.994379,116.30924,44.0,5.0,0.01,1.89
39.99439,116.309324,45.0,5.0,0.01,1.45
39.994282,116.309258,47.0,5.0,0.01,2.65
39.994064,116.309247,48.0,5.0,0.02,4.85
39.993744,116.309302,48.0,5.0,0.04,7.18
39.993348,116.309346,49.0,5.0,0.04,8.84
39.992996,116.309432,49.0,5.0,0.04,7.96
39.992741,116.309531,50.0,5.0,0.03,5.92
39.992557,116.309579,51.0,5.0,0.02,4.17
39.992423,116.309588,51.0,5.0,0.01,2.98
39.992318,116.309604,49.0,5.0,0.01,2.35
39.992233,116.309593,47.0,5.0,0.01,1.9
39.992165,116.309584,47.0,5.0,0.01,1.52
39.991948,116.30961,49.0,5.0,0.02,4.85
39.991641,116.30961,49.0,5.0,0.03,6.83
39.991312,116.309657,49.0,5.0,0.04,7.36
39.990958,116.309689,47.0,5.0,0.04,7.89
39.990518,116.309709,46.0,5.0,0.05,9.79
39.990034,116.30975,43.0,5.0,0.05,10.79
39.989528,116.309853,40.0,5.0,0.06,11.39
39.989028,116.309811,42.0,5.0,0.06,11.14
39.988614,116.309798,47.0,5.0,0.05,9.21
39.988395,116.309789,46.0,5.0,0.02,4.87
39.988391,116.309801,46.0,5.0,0.0,0.22
39.988378,116.309802,47.0,5.0,0.0,0.29
39.988236,116.309905,50.0,5.0,0.02,3.61
39.987955,116.309911,51.0,5.0,0.03,6.25
39.987574,116.309906,50.0,5.0,0.04,8.47
39.987145,116.309917,49.0,5.0,0.05,9.54
39.986777,116.309925,47.0,5.0,0.04,8.19
39.986553,116.309951,47.0,5.0,0.03,5.0
39.986483,116.309985,46.0,5.0,0.01,1.66
39.986485,116.309978,46.0,5.0,0.0,0.13
39.986485,116.309978,46.0,3.0,0.0,0.0
39.986489,116.309978,45.0,2.0,0.0,0.22
39.986499,116.309977,45.0,5.0,0.0,0.22
39.98645,116.31,44.0,5.0,0.01,1.16
39.986295,116.310113,46.0,5.0,0.02,3.95
39.986033,116.310124,48.0,5.0,0.03,5.83
39.985693,116.310202,53.0,5.0,0.04,7.68
39.985519,116.31025,54.0,5.0,0.02,3.96
