Lat,Long,Alt_m,Diftime,dist_Km,speed_m
39.942822,116.795932,27.0,5.0,0.0,0.8
39.942788,116.795947,30.0,5.0,0.0,0.8
39.942795,116.795908,30.0,5.0,0.0,0.68
39.942774,116.795929,33.0,5.0,0.0,0.59
39.942741,116.795924,32.0,5.0,0.0,0.74
39.942725,116.795932,31.0,5.0,0.0,0.38
39.942722,116.795936,31.0,5.0,0.0,0.1
39.94272,116.795935,31.0,5.0,0.0,0.05
39.94272,116.795935,31.0,3.0,0.0,0.0
39.942717,116.795928,31.0,2.0,0.0,0.34
39.942722,116.795915,31.0,5.0,0.0,0.25
39.942732,116.795907,31.0,5.0,0.0,0.26
39.942698,116.795933,31.0,5.0,0.0,0.88
39.942612,116.795934,31.0,5.0,0.01,1.91
39.942558,116.796,33.0,5.0,0.01,1.65
39.942472,116.795949,32.0,5.0,0.01,2.1
39.94236,116.79562,29.0,5.0,0.03,6.14
39.942358,116.795331,28.0,5.0,0.02,4.93
39.942332,116.795201,28.0,5.0,0.01,2.29
39.942317,116.795185,27.0,5.0,0.0,0.43
39.942322,116.795174,27.0,5.0,0.0,0.22
39.942322,116.795174,27.0,3.0,0.0,0.0
39.942319,116.795171,27.0,2.0,0.0,0.21
39.94231,116.795171,27.0,5.0,0.0,0.2
39.942297,116.795174,27.0,5.0,0.0,0.29
39.942292,116.794988,24.0,5.0,0.02,3.17
39.942215,116.7947,25.0,5.0,0.03,5.2
39.942113,116.794252,23.0,5.0,0.04,7.97
39.942027,116.793694,23.0,5.0,0.05,9.7
39.941926,116.793198,22.0,5.0,0.04,8.75
39.941908,116.792724,23.0,5.0,0.04,8.09
39.94187,116.792373,27.0,5.0,0.03,6.04
39.941804,116.791898,26.0,5.0,0.04,8.23
39.941719,116.791294,26.0,5.0,0.05,10.47
39.941604,116.790679,26.0,5.0,0.05,10.79
39.941522,116.790099,25.0,5.0,0.05,10.06
39.941485,116.789681,24.0,5.0,0.04,7.17
39.94147,116.789333,21.0,5.0,0.03,5.94
39.941457,116.789162,24.0,5.0,0.01,2.93
39.941454,116.789151,22.0,5.0,0.0,0.2
39.941454,116.789151,22.0,3.0,0.0,0.0
