Lat,Long,Alt_m,Alt_dif,Date,hour,Diftime,SP-POI,dist_Km,dist_m,speed_m,speed_km,Week_day,user,transp
40.013924,116.306498,49,-7,2008-12-03,0:5:5,-2401,-,4.33,4332.15,-1.8,-6.48,2,001,Undifind
40.013978,116.306582,-5,-54,2008-12-03,0:5:6,1,-,0.01,9.34,9.34,33.62,2,001,Car City
40.013746,116.306406,46,51,2008-12-03,0:16:19,673,POI,0.03,29.84,0.04,0.14,2,001,Stopped
40.01374,116.306399,47,1,2008-12-03,0:16:24,5,-,0.0,0.89,0.18,0.65,2,001,Stopped
40.013742,116.306394,47,0,2008-12-03,0:16:29,5,-,0.0,0.48,0.1,0.36,2,001,Stopped
40.013748,116.306394,48,1,2008-12-03,0:16:34,5,-,0.0,0.67,0.13,0.47,2,001,Stopped
40.013752,116.306398,48,0,2008-12-03,0:16:39,5,-,0.0,0.56,0.11,0.4,2,001,Stopped
40.013753,116.306398,49,1,2008-12-03,0:16:44,5,-,0.0,0.11,0.02,0.07,2,001,Stopped
40.013753,116.306396,49,0,2008-12-03,0:16:49,5,-,0.0,0.17,0.03,0.11,2,001,Stopped
40.013751,116.306393,49,0,2008-12-03,0:16:54,5,-,0.0,0.34,0.07,0.25,2,001,Stopped
40.013751,116.306394,49,0,2008-12-03,0:16:59,5,-,0.0,0.09,0.02,0.07,2,001,Stopped
40.013751,116.306394,49,0,2008-12-03,0:17:2,3,-,0.0,0.0,0.0,0.0,2,001,Stopped
40.013746,116.306399,49,0,2008-12-03,0:17:4,2,-,0.0,0.7,0.35,1.26,2,001,Stopped
40.013738,116.306448,47,-2,2008-12-03,0:17:9,5,-,0.0,4.27,0.85,3.06,2,001,Walking
40.013727,116.306433,44,-3,2008-12-03,0:17:14,5,-,0.0,1.77,0.35,1.26,2,001,Stopped
40.013761,116.306416,42,-2,2008-12-03,0:17:19,5,-,0.0,4.05,0.81,2.92,2,001,Walking
40.013828,116.306393,41,-1,2008-12-03,0:17:24,5,-,0.01,7.7,1.54,5.54,2,001,Running
40.013905,116.306357,40,-1,2008-12-03,0:17:29,5,-,0.01,9.09,1.82,6.55,2,001,Running
40.013991,116.30631,40,0,2008-12-03,0:17:33,4,-,0.01,10.37,2.59,9.32,2,001,Running
40.014079,116.306238,40,0,2008-12-03,0:17:38,5,-,0.01,11.55,2.31,8.32,2,001,Running
40.014092,116.30614,40,0,2008-12-03,0:17:43,5,-,0.01,8.47,1.69,6.08,2,001,Running
40.014104,116.306016,40,0,2008-12-03,0:17:48,5,-,0.01,10.64,2.13,7.67,2,001,Running
40.014087,116.305906,39,-1,2008-12-03,0:17:53,5,-,0.01,9.56,1.91,6.88,2,001,Running
40.014095,116.305769,37,-2,2008-12-03,0:17:57,4,-,0.01,11.7,2.92,10.51,2,001,Running
40.014023,116.305681,36,-1,2008-12-03,0:18:2,5,-,0.01,10.97,2.19,7.88,2,001,Running
40.013912,116.305685,35,-1,2008-12-03,0:18:7,5,-,0.01,12.35,2.47,8.89,2,001,Running
40.013811,116.305688,34,-1,2008-12-03,0:18:12,5,-,0.01,11.23,2.25,8.1,2,001,Running
40.01376,116.305767,35,1,2008-12-03,0:18:17,5,-,0.01,8.8,1.76,6.34,2,001,Running
40.013746,116.305888,37,2,2008-12-03,0:18:22,5,-,0.01,10.42,2.08,7.49,2,001,Running
40.013754,116.30599,40,3,2008-12-03,0:18:27,5,-,0.01,8.73,1.75,6.3,2,001,Running
40.013739,116.306127,39,-1,2008-12-03,0:18:30,3,-,0.01,11.79,3.93,14.15,2,001,Bycicl/Car
40.0137,116.306259,37,-2,2008-12-03,0:18:34,4,-,0.01,12.05,3.01,10.84,2,001,Running
40.013628,116.306333,35,-2,2008-12-03,0:18:38,4,-,0.01,10.19,2.55,9.18,2,001,Running
40.013539,116.306408,36,1,2008-12-03,0:18:43,5,-,0.01,11.78,2.36,8.5,2,001,Running
40.013513,116.306498,36,0,2008-12-03,0:18:48,5,-,0.01,8.19,1.64,5.9,2,001,Running
40.013507,116.306519,36,0,2008-12-03,0:18:53,5,-,0.0,1.91,0.38,1.37,2,001,Stopped
40.013499,116.306583,35,-1,2008-12-03,0:18:58,5,-,0.01,5.52,1.1,3.96,2,001,Walking
