Lat,Long,Alt_m,Alt_dif,Date,hour,Diftime,SP-POI,dist_Km,dist_m,speed_m,speed_km,Week_day,user,transp
40.013891,116.306593,84,20,2008-11-18,23:50:53,83856,POI,4.33,4333.74,0.05,0.18,1,001,Stopped
40.014028,116.306684,121,37,2008-11-18,23:50:54,1,-,0.02,17.09,17.09,61.52,1,001,Car City
40.013809,116.306465,61,-60,2008-11-18,23:50:56,2,-,0.03,30.67,15.34,55.22,1,001,Car City
40.013902,116.30656,77,16,2008-11-18,23:50:57,1,-,0.01,13.13,13.13,47.27,1,001,Car City
40.013904,116.306539,69,-8,2008-11-18,23:51:2,5,-,0.0,1.8,0.36,1.3,1,001,Stopped
40.013899,116.306513,59,-10,2008-11-18,23:51:5,3,-,0.0,2.28,0.76,2.74,1,001,Walking
40.013855,116.30654,49,-10,2008-11-18,23:51:9,4,-,0.01,5.41,1.35,4.86,1,001,Running
40.013838,116.306562,42,-7,2008-11-18,23:51:14,5,-,0.0,2.66,0.53,1.91,1,001,Stopped
40.013824,116.306562,35,-7,2008-11-18,23:51:19,5,-,0.0,1.56,0.31,1.12,1,001,Stopped
40.013803,116.306545,38,3,2008-11-18,23:51:24,5,-,0.0,2.75,0.55,1.98,1,001,Stopped
40.013807,116.306546,39,1,2008-11-18,23:51:29,5,-,0.0,0.45,0.09,0.32,1,001,Stopped
40.013807,116.306546,39,0,2008-11-18,23:51:32,3,-,0.0,0.0,0.0,0.0,1,001,Stopped
40.013807,116.30654,37,-2,2008-11-18,23:51:34,2,-,0.0,0.51,0.26,0.94,1,001,Stopped
40.013787,116.306529,35,-2,2008-11-18,23:51:39,5,-,0.0,2.41,0.48,1.73,1,001,Stopped
40.013768,116.306505,35,0,2008-11-18,23:51:44,5,-,0.0,2.94,0.59,2.12,1,001,Walking
40.013768,116.306505,35,0,2008-11-18,23:51:47,3,-,0.0,0.0,0.0,0.0,1,001,Stopped
40.013768,116.3065,34,-1,2008-11-18,23:51:49,2,-,0.0,0.43,0.21,0.76,1,001,Stopped
40.013817,116.30646,33,-1,2008-11-18,23:51:54,5,-,0.01,6.43,1.29,4.64,1,001,Running
40.013853,116.306449,32,-1,2008-11-18,23:51:59,5,-,0.0,4.11,0.82,2.95,1,001,Walking
40.013878,116.30643,29,-3,2008-11-18,23:52:4,5,-,0.0,3.22,0.64,2.3,1,001,Walking
40.013917,116.30639,30,1,2008-11-18,23:52:9,5,-,0.01,5.51,1.1,3.96,1,001,Walking
40.013946,116.306363,30,0,2008-11-18,23:52:14,5,-,0.0,3.96,0.79,2.84,1,001,Walking
40.013973,116.306327,30,0,2008-11-18,23:52:19,5,-,0.0,4.29,0.86,3.1,1,001,Walking
40.014043,116.306297,29,-1,2008-11-18,23:52:24,5,-,0.01,8.19,1.64,5.9,1,001,Running
40.014091,116.306218,29,0,2008-11-18,23:52:29,5,-,0.01,8.59,1.72,6.19,1,001,Running
40.014122,116.306166,29,0,2008-11-18,23:52:34,5,-,0.01,5.61,1.12,4.03,1,001,Running
40.014141,116.306116,30,1,2008-11-18,23:52:39,5,-,0.0,4.75,0.95,3.42,1,001,Walking
40.014129,116.306039,31,1,2008-11-18,23:52:44,5,-,0.01,6.69,1.34,4.82,1,001,Running
40.014141,116.305979,31,0,2008-11-18,23:52:49,5,-,0.01,5.28,1.06,3.82,1,001,Walking
40.01413,116.305914,30,-1,2008-11-18,23:52:54,5,-,0.01,5.67,1.13,4.07,1,001,Running
40.014123,116.305849,31,1,2008-11-18,23:52:59,5,-,0.01,5.59,1.12,4.03,1,001,Running
40.014118,116.305805,32,1,2008-11-18,23:53:4,5,-,0.0,3.79,0.76,2.74,1,001,Walking
40.014121,116.305736,32,0,2008-11-18,23:53:9,5,-,0.01,5.89,1.18,4.25,1,001,Running
40.014174,116.305668,32,0,2008-11-18,23:53:14,5,-,0.01,8.26,1.65,5.94,1,001,Running
40.014212,116.305664,34,2,2008-11-18,23:53:19,5,-,0.0,4.24,0.85,3.06,1,001,Walking
40.014263,116.305657,35,1,2008-11-18,23:53:24,5,-,0.01,5.7,1.14,4.1,1,001,Running
40.014316,116.305644,35,0,2008-11-18,23:53:29,5,-,0.01,6.0,1.2,4.32,1,001,Running
40.014387,116.305664,33,-2,2008-11-18,23:53:34,5,-,0.01,8.08,1.62,5.83,1,001,Running
40.014448,116.305659,33,0,2008-11-18,23:53:39,5,-,0.01,6.8,1.36,4.9,1,001,Running
40.014497,116.305652,34,1,2008-11-18,23:53:44,5,-,0.01,5.48,1.1,3.96,1,001,Walking
40.014559,116.305635,32,-2,2008-11-18,23:53:49,5,-,0.01,7.04,1.41,5.08,1,001,Running
40.014595,116.305629,33,1,2008-11-18,23:53:54,5,-,0.0,4.04,0.81,2.92,1,001,Walking
40.014651,116.305634,32,-1,2008-11-18,23:53:59,5,-,0.01,6.24,1.25,4.5,1,001,Running
40.014702,116.305646,32,0,2008-11-18,23:54:4,5,-,0.01,5.76,1.15,4.14,1,001,Running
40.014753,116.305607,33,1,2008-11-18,23:54:9,5,-,0.01,6.57,1.31,4.72,1,001,Running
40.014806,116.305591,33,0,2008-11-18,23:54:14,5,-,0.01,6.05,1.21,4.36,1,001,Running
40.014871,116.305566,34,1,2008-11-18,23:54:19,5,-,0.01,7.53,1.51,5.44,1,001,Running
40.014931,116.30557,34,0,2008-11-18,23:54:24,5,-,0.01,6.68,1.34,4.82,1,001,Running
