Lat,Long,Alt_m,Alt_dif,Date,hour,Diftime,SP-POI,dist_Km,dist_m,speed_m,speed_km,Week_day,user,transp
40.010273,116.314361,149,105,2009-05-01,3:51:38,-28837,-,0.06,62.7,-0.0,-0.0,4,000,Stopped
40.010243,116.314287,149,0,2009-05-01,3:51:43,5,-,0.01,7.13,1.43,5.15,4,000,Running
40.010179,116.314181,149,0,2009-05-01,3:51:48,5,-,0.01,11.5,2.3,8.28,4,000,Running
40.010189,116.314005,149,0,2009-05-01,3:51:53,5,-,0.02,15.03,3.01,10.84,4,000,Running
40.010141,116.313869,149,0,2009-05-01,3:51:58,5,-,0.01,12.75,2.55,9.18,4,000,Running
40.010061,116.313862,148,-1,2009-05-01,3:52:3,5,-,0.01,8.92,1.78,6.41,4,000,Running
40.009678,116.314575,53,-95,2009-05-01,3:52:8,5,-,0.07,74.17,14.83,53.39,4,000,Car City
40.009665,116.314742,53,0,2009-05-01,3:52:13,5,-,0.01,14.3,2.86,10.3,4,000,Running
40.009687,116.314948,53,0,2009-05-01,3:52:18,5,-,0.02,17.71,3.54,12.74,4,000,Bycicl/Car
40.009723,116.315146,50,-3,2009-05-01,3:52:23,5,-,0.02,17.33,3.47,12.49,4,000,Bycicl/Car
40.009744,116.315318,46,-4,2009-05-01,3:52:28,5,-,0.01,14.83,2.97,10.69,4,000,Running
40.009712,116.315592,46,0,2009-05-01,3:52:33,5,-,0.02,23.61,4.72,16.99,4,000,Bycicl/Car
40.009725,116.315791,46,0,2009-05-01,3:52:38,5,-,0.02,17.01,3.4,12.24,4,000,Bycicl/Car
40.009702,116.316033,44,-2,2009-05-01,3:52:43,5,-,0.02,20.77,4.15,14.94,4,000,Bycicl/Car
40.009546,116.316173,37,-7,2009-05-01,3:52:48,5,-,0.02,21.05,4.21,15.16,4,000,Bycicl/Car
40.009359,116.316211,34,-3,2009-05-01,3:52:53,5,-,0.02,21.04,4.21,15.16,4,000,Bycicl/Car
40.009181,116.316243,32,-2,2009-05-01,3:52:58,5,-,0.02,19.98,4.0,14.4,4,000,Bycicl/Car
40.009055,116.31635,29,-3,2009-05-01,3:53:3,5,-,0.02,16.71,3.34,12.02,4,000,Bycicl/Car
40.00906,116.316682,30,1,2009-05-01,3:53:8,5,-,0.03,28.28,5.66,20.38,4,000,Metro
40.009078,116.31692,29,-1,2009-05-01,3:53:13,5,-,0.02,20.37,4.07,14.65,4,000,Bycicl/Car
40.0091,116.317156,25,-4,2009-05-01,3:53:18,5,-,0.02,20.25,4.05,14.58,4,000,Bycicl/Car
40.009119,116.317378,23,-2,2009-05-01,3:53:23,5,-,0.02,19.03,3.81,13.72,4,000,Bycicl/Car
40.009109,116.317599,21,-2,2009-05-01,3:53:28,5,-,0.02,18.86,3.77,13.57,4,000,Bycicl/Car
40.008994,116.31768,19,-2,2009-05-01,3:53:33,5,-,0.01,14.53,2.91,10.48,4,000,Running
40.008848,116.317655,16,-3,2009-05-01,3:53:38,5,-,0.02,16.37,3.27,11.77,4,000,Running
