Lat,Long,Alt_m,Alt_dif,Date,hour,Diftime,SP-POI,dist_Km,dist_m,speed_m,speed_km,Week_day,user,transp
39.991364,116.326605,67,47,2008-10-29,9:30:38,-965,-,2.74,2743.96,-2.84,-10.22,2,000,Undifind
39.991551,116.326653,49,-18,2008-10-29,9:30:43,5,-,0.02,21.19,4.24,15.26,2,000,Bycicl/Car
39.991821,116.326695,22,-27,2008-10-29,9:30:48,5,-,0.03,30.24,6.05,21.78,2,000,Metro
39.991771,116.326676,23,1,2008-10-29,9:30:53,5,-,0.01,5.79,1.16,4.18,2,000,Running
39.991825,116.326657,23,0,2008-10-29,9:30:58,5,-,0.01,6.22,1.24,4.46,2,000,Running
39.991822,116.326677,24,1,2008-10-29,9:31:3,5,-,0.0,1.74,0.35,1.26,2,000,Stopped
39.991795,116.326712,26,2,2008-10-29,9:31:8,5,-,0.0,4.23,0.85,3.06,2,000,Walking
39.991669,116.326725,28,2,2008-10-29,9:31:13,5,-,0.01,14.05,2.81,10.12,2,000,Running
39.991589,116.326717,33,5,2008-10-29,9:31:18,5,-,0.01,8.92,1.78,6.41,2,000,Running
39.991578,116.326708,36,3,2008-10-29,9:31:23,5,-,0.0,1.44,0.29,1.04,2,000,Stopped
39.991589,116.326702,36,0,2008-10-29,9:31:28,5,-,0.0,1.33,0.27,0.97,2,000,Stopped
39.991607,116.326705,36,0,2008-10-29,9:31:33,5,-,0.0,2.02,0.4,1.44,2,000,Stopped
39.991653,116.326705,35,-1,2008-10-29,9:31:38,5,-,0.01,5.11,1.02,3.67,2,000,Walking
39.991737,116.326701,36,1,2008-10-29,9:31:43,5,-,0.01,9.35,1.87,6.73,2,000,Running
39.991791,116.326719,35,-1,2008-10-29,9:31:48,5,-,0.01,6.2,1.24,4.46,2,000,Running
39.991822,116.32672,35,0,2008-10-29,9:31:53,5,-,0.0,3.45,0.69,2.48,2,000,Walking
39.991828,116.326703,35,0,2008-10-29,9:31:58,5,-,0.0,1.59,0.32,1.15,2,000,Stopped
39.991817,116.326677,34,-1,2008-10-29,9:32:3,5,-,0.0,2.53,0.51,1.84,2,000,Stopped
39.991816,116.326635,33,-1,2008-10-29,9:32:8,5,-,0.0,3.58,0.72,2.59,2,000,Walking
39.991816,116.326635,33,0,2008-10-29,9:32:11,3,-,0.0,0.0,0.0,0.0,2,000,Stopped
39.991809,116.326634,33,0,2008-10-29,9:32:13,2,-,0.0,0.78,0.39,1.4,2,000,Stopped
39.991785,116.32664,33,0,2008-10-29,9:32:18,5,-,0.0,2.72,0.54,1.94,2,000,Stopped
39.991643,116.326665,32,-1,2008-10-29,9:32:23,5,-,0.02,15.93,3.19,11.48,2,000,Running
39.991381,116.326716,31,-1,2008-10-29,9:32:28,5,-,0.03,29.46,5.89,21.2,2,000,Metro
39.991019,116.326835,28,-3,2008-10-29,9:32:33,5,-,0.04,41.51,8.3,29.88,2,000,Car City
39.990616,116.326969,25,-3,2008-10-29,9:32:38,5,-,0.05,46.24,9.25,33.3,2,000,Car City
39.989961,116.327072,23,-2,2008-10-29,9:32:43,5,-,0.07,73.36,14.67,52.81,2,000,Car City
39.989324,116.327076,20,-3,2008-10-29,9:32:48,5,-,0.07,70.83,14.17,51.01,2,000,Car City
