Lat,Long,Alt_m,Alt_dif,Date,hour,Diftime,SP-POI,dist_Km,dist_m,speed_m,speed_km,Week_day,user,transp
39.999901,116.327394,20,-12,2009-04-13,14:46:32,-476,-,1.33,1325.8,-2.79,-10.04,0,000,Undifind
39.999913,116.327343,31,11,2009-04-13,14:46:37,5,-,0.0,4.54,0.91,3.28,0,000,Walking
39.999915,116.327302,33,2,2009-04-13,14:46:43,6,-,0.0,3.5,0.58,2.09,0,000,Walking
39.999915,116.327302,33,0,2009-04-13,14:46:46,3,-,0.0,0.0,0.0,0.0,0,000,Stopped
39.999917,116.327295,35,2,2009-04-13,14:46:48,2,-,0.0,0.64,0.32,1.15,0,000,Stopped
39.999908,116.327269,37,2,2009-04-13,14:46:53,5,-,0.0,2.43,0.49,1.76,0,000,Stopped
39.999909,116.327256,40,3,2009-04-13,14:46:58,5,-,0.0,1.11,0.22,0.79,0,000,Stopped
39.999909,116.327256,40,0,2009-04-13,14:47:1,3,-,0.0,0.0,0.0,0.0,0,000,Stopped
39.999916,116.327253,40,0,2009-04-13,14:47:3,2,-,0.0,0.82,0.41,1.48,0,000,Stopped
39.999901,116.327279,41,1,2009-04-13,14:47:8,5,-,0.0,2.77,0.55,1.98,0,000,Stopped
39.999864,116.327271,42,1,2009-04-13,14:47:13,5,-,0.0,4.17,0.83,2.99,0,000,Walking
39.999853,116.327192,40,-2,2009-04-13,14:47:18,5,-,0.01,6.84,1.37,4.93,0,000,Running
39.999853,116.327067,35,-5,2009-04-13,14:47:23,5,-,0.01,10.65,2.13,7.67,0,000,Running
39.999846,116.326892,32,-3,2009-04-13,14:47:28,5,-,0.01,14.93,2.99,10.76,0,000,Running
39.999854,116.3267,28,-4,2009-04-13,14:47:33,5,-,0.02,16.38,3.28,11.81,0,000,Running
39.999826,116.326447,26,-2,2009-04-13,14:47:38,5,-,0.02,21.77,4.35,15.66,0,000,Bycicl/Car
39.999809,116.326178,28,2,2009-04-13,14:47:43,5,-,0.02,22.99,4.6,16.56,0,000,Bycicl/Car
39.999811,116.325932,26,-2,2009-04-13,14:47:48,5,-,0.02,20.96,4.19,15.08,0,000,Bycicl/Car
39.99981,116.32567,23,-3,2009-04-13,14:47:53,5,-,0.02,22.32,4.46,16.06,0,000,Bycicl/Car
39.999804,116.325414,21,-2,2009-04-13,14:47:58,5,-,0.02,21.82,4.36,15.7,0,000,Bycicl/Car
39.999802,116.325156,19,-2,2009-04-13,14:48:3,5,-,0.02,21.98,4.4,15.84,0,000,Bycicl/Car
39.999794,116.324882,18,-1,2009-04-13,14:48:8,5,-,0.02,23.36,4.67,16.81,0,000,Bycicl/Car
