Lat,Long,Alt_m,Alt_dif,Date,hour,Diftime,SP-POI,dist_Km,dist_m,speed_m,speed_km,Week_day,user,transp
39.971163,116.300589,161,91,2009-03-04,11:27:17,-949,-,0.75,746.41,-0.79,-2.84,2,022,Undifind
39.971748,116.3008,225,64,2009-03-04,11:27:18,1,-,0.07,67.49,67.49,242.96,2,022,Plain
39.97069,116.300081,92,-133,2009-03-04,11:27:21,3,-,0.13,132.64,44.21,159.16,2,022,Train
39.970713,116.300133,95,3,2009-03-04,11:27:22,1,-,0.01,5.12,5.12,18.43,2,022,Bycicl/Car
39.97077,116.300173,103,8,2009-03-04,11:27:24,2,-,0.01,7.2,3.6,12.96,2,022,Bycicl/Car
39.970832,116.300206,111,8,2009-03-04,11:27:25,1,-,0.01,7.45,7.45,26.82,2,022,Car City
39.970776,116.300227,114,3,2009-03-04,11:27:29,4,-,0.01,6.48,1.62,5.83,2,022,Running
39.970756,116.300279,120,6,2009-03-04,11:27:32,3,-,0.0,4.96,1.65,5.94,2,022,Running
39.970745,116.300315,125,5,2009-03-04,11:27:33,1,-,0.0,3.3,3.3,11.88,2,022,Running
39.97079,116.300345,121,-4,2009-03-04,11:27:37,4,-,0.01,5.62,1.41,5.08,2,022,Running
39.970841,116.300355,117,-4,2009-03-04,11:27:40,3,-,0.01,5.73,1.91,6.88,2,022,Running
39.970848,116.300341,117,0,2009-03-04,11:27:45,5,-,0.0,1.42,0.28,1.01,2,022,Stopped
39.970827,116.300349,115,-2,2009-03-04,11:27:50,5,-,0.0,2.43,0.49,1.76,2,022,Stopped
39.970784,116.300348,112,-3,2009-03-04,11:27:54,4,-,0.0,4.78,1.2,4.32,2,022,Running
39.970729,116.300349,111,-1,2009-03-04,11:27:58,4,-,0.01,6.12,1.53,5.51,2,022,Running
39.970678,116.300355,110,-1,2009-03-04,11:28:1,3,-,0.01,5.69,1.9,6.84,2,022,Running
39.970636,116.300344,108,-2,2009-03-04,11:28:6,5,-,0.0,4.76,0.95,3.42,2,022,Walking
39.970601,116.300296,108,0,2009-03-04,11:28:10,4,-,0.01,5.65,1.41,5.08,2,022,Running
39.970551,116.300241,107,-1,2009-03-04,11:28:13,3,-,0.01,7.27,2.42,8.71,2,022,Running
39.970492,116.300236,107,0,2009-03-04,11:28:17,4,-,0.01,6.57,1.64,5.9,2,022,Running
39.970445,116.300217,106,-1,2009-03-04,11:28:21,4,-,0.01,5.47,1.37,4.93,2,022,Running
39.970406,116.300182,106,0,2009-03-04,11:28:25,4,-,0.01,5.26,1.31,4.72,2,022,Running
39.970364,116.30015,106,0,2009-03-04,11:28:30,5,-,0.01,5.41,1.08,3.89,2,022,Walking
39.970323,116.300118,105,-1,2009-03-04,11:28:35,5,-,0.01,5.31,1.06,3.82,2,022,Walking
39.970288,116.300099,105,0,2009-03-04,11:28:40,5,-,0.0,4.22,0.84,3.02,2,022,Walking
39.970242,116.300101,105,0,2009-03-04,11:28:43,3,-,0.01,5.12,1.71,6.16,2,022,Running
39.970192,116.300101,105,0,2009-03-04,11:28:48,5,-,0.01,5.56,1.11,4.0,2,022,Running
39.97018,116.300179,105,0,2009-03-04,11:28:52,4,-,0.01,6.78,1.7,6.12,2,022,Running
39.970196,116.300248,105,0,2009-03-04,11:28:53,1,-,0.01,6.14,6.14,22.1,2,022,Metro
39.970191,116.300349,105,0,2009-03-04,11:28:58,5,-,0.01,8.62,1.72,6.19,2,022,Running
39.970036,116.300475,104,-1,2009-03-04,11:29:0,2,-,0.02,20.31,10.15,36.54,2,022,Car City
39.969838,116.300896,104,0,2009-03-04,11:29:1,1,-,0.04,42.09,42.09,151.52,2,022,Train
39.969746,116.300982,105,1,2009-03-04,11:29:3,2,-,0.01,12.58,6.29,22.64,2,022,Metro
39.969743,116.301089,107,2,2009-03-04,11:29:7,4,-,0.01,9.12,2.28,8.21,2,022,Running
39.969704,116.301102,110,3,2009-03-04,11:29:10,3,-,0.0,4.48,1.49,5.36,2,022,Running
39.969694,116.301119,113,3,2009-03-04,11:29:15,5,-,0.0,1.83,0.37,1.33,2,022,Stopped
39.969648,116.301138,113,0,2009-03-04,11:29:19,4,-,0.01,5.37,1.34,4.82,2,022,Running
39.969624,116.301158,113,0,2009-03-04,11:29:24,5,-,0.0,3.17,0.63,2.27,2,022,Walking
39.969751,116.301262,109,-4,2009-03-04,11:29:29,5,-,0.02,16.67,3.33,11.99,2,022,Running
39.96988,116.301329,109,0,2009-03-04,11:29:30,1,-,0.02,15.44,15.44,55.58,2,022,Car City
39.969587,116.301167,81,-28,2009-03-04,11:29:34,4,-,0.04,35.38,8.85,31.86,2,022,Car City
39.969545,116.301182,79,-2,2009-03-04,11:29:37,3,-,0.0,4.84,1.61,5.8,2,022,Running
39.969545,116.301198,77,-2,2009-03-04,11:29:42,5,-,0.0,1.36,0.27,0.97,2,022,Stopped
