Lat,Long,Alt_m,Diftime,dist_Km,speed_m
40.013957,116.306401,49.0,-83370.0,0.03,-0.0
40.014155,116.305756,45.0,5.0,0.01,2.58
40.013794,116.306078,44.0,4.0,0.01,2.42
40.013152000000005,116.308751,38.0,3.0,0.01,3.32
40.013188,116.30946399999999,37.0,4.0,0.01,2.79
40.013247,116.310258,35.0,3.0,0.01,3.41
40.01325,116.310653,34.0,4.0,0.01,3.31
40.013271,116.31181699999999,35.0,4.0,0.01,2.9
40.012859999999996,116.31191000000001,44.0,3.0,0.01,3.94
40.011573,116.312072,53.0,4.0,0.01,2.84
40.011404999999996,116.312067,44.0,5.0,0.01,1.78
40.009883,116.312708,65.0,3.0,0.01,4.3
40.009475,116.31286999999999,57.0,3.0,0.01,3.64
40.009491,116.314264,60.0,2.0,0.01,5.65
40.009597,116.314796,63.0,3.0,0.01,4.16
40.009613,116.314947,64.0,3.0,0.01,4.33
40.009645,116.31523700000001,63.0,3.0,0.01,4.8
40.009687,116.315703,56.0,1.0,0.01,9.91
40.009159999999994,116.317591,42.0,3.0,0.01,3.86
40.008936,116.317803,44.0,4.0,0.01,3.03
40.008106,116.31781399999998,59.0,2.0,0.01,5.17
40.00701,116.31779099999999,74.0,3.0,0.01,4.78
40.006754,116.31775,73.0,3.0,0.01,4.68
40.005774,116.31778899999999,61.0,3.0,0.01,4.97
40.004791,116.31825400000001,48.0,3.0,0.01,4.54
40.00482,116.31914599999999,51.0,3.0,0.02,5.63
40.004845,116.31969199999999,46.0,2.0,0.01,6.14
40.004851,116.31986100000002,44.0,3.0,0.01,4.8
40.004865,116.32016499999999,43.0,3.0,0.01,4.58
40.004036,116.32158899999999,38.0,4.0,0.01,2.68
40.003859000000006,116.32165800000001,41.0,5.0,0.01,2.2
40.003254999999996,116.32168999999999,57.0,2.0,0.01,5.92
40.000955,116.321898,74.0,5.0,0.01,2.29
40.000716,116.321905,72.0,3.0,0.01,4.78
40.000271000000005,116.32196299999998,66.0,3.0,0.01,4.83
40.000153999999995,116.32196299999998,68.0,2.0,0.01,6.5
39.999695,116.322865,61.0,4.0,0.01,3.64
39.996557,116.32637,51.0,3.0,0.01,4.11
39.995511,116.32656000000001,55.0,3.0,0.01,4.97
39.995182,116.32658700000002,55.0,3.0,0.01,3.86
39.993399,116.32660200000001,64.0,3.0,0.01,4.97
39.992318,116.326554,54.0,3.0,0.01,4.75
39.991748,116.32666499999999,71.0,5.0,0.0,0.03
39.986283,116.326815,63.0,3.0,0.01,3.3
39.986094,116.326761,71.0,2.0,0.01,5.22
39.985209000000005,116.32691899999999,62.0,5.0,0.0,0.02
39.985167,116.326927,62.0,5.0,0.0,0.0
39.985163,116.32692800000001,62.0,5.0,0.0,0.09
39.985161,116.326929,62.0,5.0,0.0,0.05
39.983807,116.326879,49.0,4.0,0.01,3.31
39.983703999999996,116.326889,48.0,3.0,0.01,3.83
39.981497999999995,116.327095,58.0,2.0,0.01,5.39
39.978711,116.32722,71.0,4.0,0.01,2.65
39.978019,116.327119,66.0,5.0,0.0,0.13
