Lat,Long,Alt_m,Diftime,dist_Km,speed_m
39.999779,116.32687299999999,103.0,5.0,0.01,2.45
39.999790000000004,116.326903,95.0,5.0,0.0,0.57
39.999855,116.322645,10.0,5.0,0.02,3.38
39.999849,116.322387,11.0,5.0,0.02,4.4
39.999947999999996,116.32222,10.0,5.0,0.02,3.6
40.000081,116.322166,7.0,5.0,0.02,3.1
40.002292,116.321821,5.0,5.0,0.02,3.4
40.002441999999995,116.32181499999999,6.0,5.0,0.02,3.34
40.002744,116.32178,6.0,5.0,0.02,3.28
40.002856,116.321775,7.0,5.0,0.01,2.49
40.006166,116.319926,66.0,75.0,0.08,1.08
40.006234,116.32044499999999,7.0,5.0,0.04,8.71
